meta_objective,state,delta_02_vs_01_mean,delta_02_vs_01_std,delta_02_vs_04_mean,delta_02_vs_04_std,delta_04_vs_01_mean,p02_beats_p01,p02_beats_p04,p04_beats_p01
M0_balanced,high,-0.0037425566464662553,0.01144527977826363,0.006874398328363895,0.014278032892501381,-0.01061695497483015,0.0625,0.45,0.11875
M0_balanced,low,-0.002368560805916786,0.010473884081398694,0.0038372671231627466,0.013841236584814443,-0.006205827929079533,0.1,0.39375,0.190625
M0_balanced,medium,-0.0018182883970439434,0.009784614078122823,0.004824653547257185,0.014774760819731118,-0.006642941944301128,0.08125,0.375,0.1875
M1_margin,high,-0.004764081351459027,0.014124437650501528,0.008741870895028115,0.016468245924209143,-0.013505952246487141,0.053125,0.45625,0.09375
M1_margin,low,-0.0030637773219496013,0.01203618222656849,0.004972426313906908,0.015987524802099754,-0.008036203635856509,0.1125,0.39375,0.2
M1_margin,medium,-0.0022082383278757335,0.010699565446671602,0.005283091496676206,0.014579774884474487,-0.00749132982455194,0.078125,0.409375,0.165625
M2_popmass,high,-0.0038917725905776024,0.011704266903915754,0.007161712646484375,0.014634981528060203,-0.011053485237061978,0.059375,0.446875,0.11875
M2_popmass,low,-0.002547634020447731,0.010720661127788463,0.004111616220325231,0.01415710087059396,-0.006659250240772963,0.096875,0.39375,0.1875
M2_popmass,medium,-0.0019627930130809547,0.009984668403052762,0.005068974266760051,0.015058587015522183,-0.007031767279841006,0.08125,0.375,0.1875
