meta_objective,state,delta_02_vs_01_mean,delta_02_vs_04_mean,delta_04_vs_01_mean,p02_beats_p01,p02_beats_p04,p04_beats_p01
M0_balanced,high,-9.600321451822917e-05,-1.5139579772949219e-05,-8.086363474527995e-05,0.08333333333333333,0.375,0.16666666666666666
M0_balanced,low,-0.0001819133758544922,0.00014261404673258463,-0.00032452742258707684,0.08333333333333333,0.4583333333333333,0.16666666666666666
M0_balanced,medium,4.6928723653157554e-05,0.00021326541900634766,-0.0001663366953531901,0.16666666666666666,0.3333333333333333,0.4166666666666667
M1_margin,high,-0.0002405246098836263,4.573663075764974e-05,-0.00028626124064127606,0.08333333333333333,0.2916666666666667,0.25
M1_margin,low,-0.0003739595413208008,0.0004179080327351888,-0.0007918675740559896,0.08333333333333333,0.375,0.20833333333333334
M1_margin,medium,3.612041473388672e-05,0.0005021095275878906,-0.0004659891128540039,0.125,0.3333333333333333,0.375
M2_popmass,high,-9.862581888834636e-05,-1.2954076131184896e-05,-8.567174275716145e-05,0.08333333333333333,0.375,0.16666666666666666
M2_popmass,low,-0.0001854101816813151,0.00015517075856526694,-0.00034058094024658203,0.08333333333333333,0.4583333333333333,0.16666666666666666
M2_popmass,medium,4.371007283528646e-05,0.0002252658208211263,-0.00018155574798583984,0.16666666666666666,0.3333333333333333,0.4166666666666667
