meta_objective,state,delta_02_vs_01_mean,delta_02_vs_04_mean,delta_04_vs_01_mean,p02_beats_p01,p02_beats_p04,p04_beats_p01
M0_balanced,high,0.0,2.8928120930989582e-05,-2.8928120930989582e-05,0.0,0.6666666666666666,0.0
M0_balanced,low,0.0,3.9736429850260414e-05,-3.9736429850260414e-05,0.0,0.3333333333333333,0.0
M0_balanced,medium,-1.9073486328125e-06,-1.8437703450520832e-05,1.6530354817708332e-05,0.0,0.3333333333333333,0.6666666666666666
M1_margin,high,0.0,8.106231689453125e-05,-8.106231689453125e-05,0.0,0.6666666666666666,0.0
M1_margin,low,0.0,9.886423746744792e-05,-9.886423746744792e-05,0.0,0.3333333333333333,0.0
M1_margin,medium,-5.7220458984375e-06,-5.817413330078125e-05,5.245208740234375e-05,0.0,0.3333333333333333,0.6666666666666666
M2_popmass,high,0.0,3.0517578125e-05,-3.0517578125e-05,0.0,0.6666666666666666,0.0
M2_popmass,low,0.0,4.2279561360677086e-05,-4.2279561360677086e-05,0.0,0.3333333333333333,0.0
M2_popmass,medium,-2.2252400716145835e-06,-1.8437703450520832e-05,1.621246337890625e-05,0.0,0.3333333333333333,0.6666666666666666
