meta_objective,state,delta_02_vs_01_mean,delta_02_vs_04_mean,delta_04_vs_01_mean,p02_beats_p01,p02_beats_p04,p04_beats_p01
M0_balanced,high,-5.751252174377441e-05,7.725954055786133e-05,-0.00013477206230163574,0.04375,0.4125,0.13125
M0_balanced,low,-3.9643049240112306e-05,8.584260940551758e-05,-0.0001254856586456299,0.125,0.3875,0.2125
M0_balanced,medium,-1.875758171081543e-05,5.474686622619629e-05,-7.350444793701172e-05,0.1,0.38125,0.25625
M1_margin,high,-0.00016448497772216796,0.00026940107345581056,-0.0004338860511779785,0.04375,0.425,0.1
M1_margin,low,-0.00012001991271972656,0.00024278163909912108,-0.00036280155181884767,0.11875,0.39375,0.20625
M1_margin,medium,-4.829764366149902e-05,0.00017658472061157226,-0.0002248823642730713,0.075,0.4125,0.20625
M2_popmass,high,-6.080865859985352e-05,8.416175842285156e-05,-0.00014497041702270507,0.04375,0.4125,0.125
M2_popmass,low,-4.315972328186035e-05,9.214282035827637e-05,-0.00013530254364013672,0.1125,0.39375,0.19375
M2_popmass,medium,-2.1284818649291994e-05,6.113052368164062e-05,-8.241534233093262e-05,0.0875,0.3875,0.2375
