meta_objective,state,delta_02_vs_01_mean,delta_02_vs_04_mean,delta_04_vs_01_mean,p02_beats_p01,p02_beats_p04,p04_beats_p01
M0_balanced,high,-3.512700398763021e-05,4.3710072835286457e-07,-3.556410471598307e-05,0.08333333333333333,0.2916666666666667,0.25
M0_balanced,low,-6.079673767089844e-05,9.151299794514974e-05,-0.00015230973561604819,0.041666666666666664,0.4583333333333333,0.16666666666666666
M0_balanced,medium,2.1417935689290363e-05,8.165836334228516e-05,-6.024042765299479e-05,0.125,0.3333333333333333,0.375
M1_margin,high,-0.00010085105895996094,2.4159749348958332e-05,-0.00012501080830891928,0.08333333333333333,0.3333333333333333,0.16666666666666666
M1_margin,low,-0.00014833609263102213,0.00023396809895833334,-0.00038230419158935547,0.041666666666666664,0.5,0.125
M1_margin,medium,5.7538350423177086e-05,0.00018012523651123047,-0.00012258688608805338,0.16666666666666666,0.3333333333333333,0.4166666666666667
M2_popmass,high,-3.707408905029297e-05,1.7881393432617188e-06,-3.886222839355469e-05,0.08333333333333333,0.2916666666666667,0.25
M2_popmass,low,-6.322065989176433e-05,9.759267171223958e-05,-0.0001608133316040039,0.041666666666666664,0.4583333333333333,0.16666666666666666
M2_popmass,medium,1.9669532775878906e-05,8.849302927652995e-05,-6.882349650065105e-05,0.125,0.3333333333333333,0.375
