meta_objective,state,delta_02_vs_01_mean,delta_02_vs_04_mean,delta_04_vs_01_mean,p02_beats_p01,p02_beats_p04,p04_beats_p01
M0_balanced,high,-4.728635152180989e-06,1.0728836059570312e-06,-5.8015187581380206e-06,0.08333333333333333,0.25,0.20833333333333334
M0_balanced,low,-7.112820943196614e-06,2.1139780680338543e-05,-2.8252601623535156e-05,0.041666666666666664,0.5,0.08333333333333333
M0_balanced,medium,3.854433695475261e-06,1.2318293253580729e-05,-8.463859558105469e-06,0.125,0.2916666666666667,0.375
M1_margin,high,-1.704692840576172e-05,6.198883056640625e-06,-2.3245811462402344e-05,0.08333333333333333,0.3333333333333333,0.16666666666666666
M1_margin,low,-2.0702679951985676e-05,5.145867665608724e-05,-7.216135660807292e-05,0.041666666666666664,0.5,0.08333333333333333
M1_margin,medium,1.1205673217773438e-05,3.198782602945963e-05,-2.07821528116862e-05,0.16666666666666666,0.3333333333333333,0.4166666666666667
M2_popmass,high,-5.245208740234375e-06,1.3907750447591145e-06,-6.635983784993489e-06,0.08333333333333333,0.2916666666666667,0.20833333333333334
M2_popmass,low,-7.708867390950521e-06,2.2411346435546875e-05,-3.0120213826497395e-05,0.041666666666666664,0.5,0.08333333333333333
M2_popmass,medium,3.417332967122396e-06,1.3868014017740885e-05,-1.045068105061849e-05,0.125,0.2916666666666667,0.375
